"26","Araucanía","Primera",15045,14780,16902,23612,20579,20074,20686,21581,21883,23226,21942,23347,21775,21655,21458,17780,18252,20241,20167,21207,22377,23017,22963,23894,24089,24883,25651,25804,25906,24632,23221,22566,21537,20717,20707,21427,22142,21070,20559,19483,19123,18976,20121,20889,21339,21734,21559,20944,20632,21232,22015,21840,21862,21490,20832,20764,20372,19896,18613,17857,17320,16599,15976,14869,14971,13748,12523,11697,11182,10618,10037,9592,9158,8220,7655,7166,6712,45701,1518671
"27","Araucanía","Segunda",12011,12579,14719,21809,19449,19086,19817,20715,21193,22672,21516,22989,21447,21359,21173,17455,17957,19904,19799,20864,21983,22619,22557,23530,23710,24513,25274,25446,25557,24284,22923,22275,21276,20455,20455,21188,21904,20851,20368,19295,18964,18798,19950,20729,21149,21558,21397,20783,20474,21086,21870,21690,21729,21357,20710,20624,20270,19775,18502,17763,17218,16500,15870,14791,14904,13663,12444,11629,11111,10557,9961,9521,9082,8149,7592,7104,6649,45035,1489934
"28","O’Higgins","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5517,3709,2406,2128,2360,1857,1610,1455,1129,1127,1120,1147,1118,1001,941,947,871,813,766,721,756,835,731,681,637,556,515,507,563,524,532,497,493,419,423,399,353,350,329,288,297,274,120,10,2,5,9,1,3,3,2,3,0,0,0,2,0,1,0,0,2,2,0,43867
"29","O’Higgins","Refuerzo",2879,3865,5897,13293,12590,12670,13425,14135,15099,17546,16821,18566,17913,18273,19191,21239,20044,20611,20204,21397,21865,22191,22073,22683,22797,23603,24400,24595,24573,23405,22280,21595,20650,19895,19823,20684,21397,20360,19829,18917,18539,18390,19509,20333,20719,21129,20890,20326,19976,20564,21296,21171,21226,20780,20120,20086,19738,19163,17786,17062,16576,15875,15272,14241,14392,13128,11944,11167,10642,10088,9527,9033,8590,7681,7150,6629,6206,40080,1370297
"30","O’Higgins","Cuarta",3,1,4,867,934,1038,1141,1181,1541,3662,3900,6719,7902,9716,13371,16067,15339,15709,15403,16146,16513,16690,16713,17290,17371,18053,18684,19053,19060,18402,17468,17132,16427,15983,16029,16803,17466,16667,16336,15652,15395,15401,16498,17303,17578,17982,17855,17476,17049,17608,18324,18295,18383,18029,17524,17526,17230,16794,15661,15100,14726,14160,13662,12793,12866,11754,10718,10045,9562,9036,8473,7949,7568,6705,6261,5724,5320,32244,1017013
"31","Los Lagos","Primera",7371,7496,8846,12677,11520,11494,11815,12008,12279,13172,12029,12356,11801,11497,11124,8147,9848,11601,11332,11594,10513,11274,11847,12524,12951,13025,13032,13490,13543,13264,12601,12135,11833,11481,11203,11193,11562,10888,10505,10505,10106,10255,10567,11001,10721,10642,10487,10045,10086,10386,10741,10418,10357,10134,9841,10111,9460,9825,8961,8799,8374,8050,8267,7658,7400,6746,6232,5943,5483,5356,4929,4424,4597,4212,4015,3816,3414,23872,785107
"32","Los Lagos","Segunda",5868,6324,7673,11638,10821,10916,11242,11526,11838,12871,11799,12131,11608,11290,10944,7904,9602,11285,11006,11262,10151,10983,11527,12239,12629,12716,12751,13199,13258,13008,12378,11890,11633,11304,11023,11036,11382,10749,10363,10390,9997,10145,10451,10868,10602,10529,10385,9949,9998,10321,10642,10323,10280,10052,9785,10049,9401,9775,8891,8754,8322,8000,8237,7628,7360,6707,6206,5921,5456,5328,4898,4399,4571,4191,3983,3782,3381,23520,767244
"33","Los Lagos","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3751,1736,857,655,696,1779,1573,1064,750,696,624,654,589,586,548,518,460,469,432,416,378,397,392,325,318,287,291,281,258,265,212,227,187,201,172,198,162,154,161,163,133,126,82,13,12,6,5,4,4,1,3,3,5,2,1,2,3,3,2,0,2,0,1,24295
"34","Los Ríos","Refuerzo",1376,1815,2732,6431,6566,6772,7187,7618,8453,10114,9303,9994,9702,9748,9893,10636,10268,10843,10360,10640,10628,11181,11170,11528,11887,12008,12099,12492,12585,12337,11749,11317,11131,10807,10610,10594,10970,10435,9971,10047,9677,9863,10113,10522,10290,10190,10044,9612,9687,9997,10323,10013,10003,9749,9516,9775,9123,9441,8503,8430,8024,7705,7940,7353,7095,6453,6000,5689,5237,5106,4677,4196,4355,3980,3745,3517,3128,20531,695599
"35","Los Ríos","Cuarta",0,0,1,400,481,525,488,562,788,2092,2201,3617,4244,4834,6710,7777,7528,7791,7332,7527,7566,7953,7947,8299,8629,8794,8965,9259,9429,9338,9017,8719,8654,8511,8324,8455,8765,8425,8105,8193,8005,8157,8494,8886,8642,8571,8491,8192,8223,8462,8827,8542,8615,8450,8231,8481,7940,8227,7485,7420,7110,6819,7101,6538,6349,5794,5380,5124,4684,4572,4212,3730,3850,3505,3305,3033,2664,16377,502733
"36","Los Ríos","Primera",1,0,0,3,1,0,0,0,0,1,0,2,0,0,2,1,0,3,0,1,2,0,1,0,2,0,1,1,2,2,1,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,42
"37","Magallanes","Segunda",0,0,0,2,1,0,0,0,0,1,0,2,0,0,2,1,0,3,0,1,2,0,1,0,2,0,1,1,2,2,1,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,40
"38","Magallanes","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Magallanes","Refuerzo",0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,1,0,3,0,1,2,0,1,0,2,0,1,1,2,2,1,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,39
"40","Maule","Cuarta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,2,0,1,0,2,0,1,1,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29
"41","Maule","Primera",9081,9230,10419,14704,13171,12568,13243,13562,13688,14958,14300,14988,14146,13981,13708,9638,11218,12712,12553,13214,13345,13707,13950,14741,15027,15058,15340,15607,15520,14921,14107,13437,13683,13182,12995,13597,13779,12564,12582,11951,12054,11995,12651,13341,13534,13657,13147,13385,12817,13029,13092,13186,13198,12871,12667,12462,12233,12139,11004,10735,10626,10484,9959,9237,9025,8569,7947,7426,7054,6863,6585,6206,5892,5542,4895,4818,4259,32165,944924
"42","Maule","Segunda",7275,7771,9012,13434,12361,11911,12609,12968,13170,14625,13948,14713,13903,13744,13460,9427,10964,12460,12302,12946,13032,13410,13678,14445,14734,14791,15045,15345,15246,14656,13870,13227,13463,12989,12826,13420,13584,12427,12444,11805,11915,11863,12531,13211,13387,13513,13024,13268,12706,12894,12984,13089,13090,12764,12575,12352,12135,12043,10909,10659,10561,10400,9880,9157,8964,8499,7891,7356,6993,6815,6524,6145,5834,5476,4833,4769,4208,31608,924265
"43","Metropolitana","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4803,2480,1338,1221,1435,1366,1123,1010,782,696,684,650,585,614,598,540,487,487,433,446,494,474,417,396,408,366,377,374,390,361,386,295,306,257,250,266,231,229,228,194,208,161,78,6,7,4,4,6,3,5,2,5,2,3,2,3,0,1,0,0,0,0,7,28984
"44","Metropolitana","Refuerzo",1637,2384,3531,8065,7943,7957,8454,8759,9054,10883,10272,11299,11057,11247,11775,12816,12044,12356,12083,12804,12765,12862,12974,13467,13776,13841,14034,14304,14214,13640,12934,12403,12620,12164,12049,12693,12814,11762,11753,11185,11298,11288,11931,12660,12798,12896,12395,12601,12135,12263,12393,12489,12507,12200,12004,11780,11546,11403,10297,10045,9976,9832,9361,8652,8484,8009,7458,6947,6568,6401,6109,5719,5392,5043,4436,4352,3785,26731,826858
"45","Metropolitana","Cuarta",0,0,4,405,462,505,482,471,721,1688,1775,3191,3981,5006,7109,8855,8408,8660,8376,8906,8780,8862,9085,9406,9717,9768,9879,10207,10149,9793,9352,9022,9197,9100,8991,9461,9554,8924,8955,8483,8626,8791,9328,9935,10071,10097,9824,9997,9697,9866,9902,10145,10204,9894,9800,9682,9506,9456,8540,8436,8475,8322,7953,7375,7279,6826,6395,5912,5597,5467,5197,4796,4501,4201,3586,3545,3089,20146,566149
