AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2022;31449;8;ESC. ESP. DE LENG. Y JARDIN NUEVO MUNDO;3;2;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;56;33;89;0;0;0;0;0;0;0;0;0;0;0;0;0;56;33;0;89;0;0;0;6;0;0;0;0;6;0;0;0
2022;31450;0;ESCUELA CRECER;3;2;0;5;VALPO;58;5804;VILLA ALEMANA;53;VALPARAÍSO;2;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;31452;8;ESCUELA ESPECIAL DE LENGUAJE ARIKI MAU;3;2;0;5;VALPO;53;5301;LOS ANDES;52;LOS ANDES;1;0;0;0;0;0;0;0;0;0;0;0;0;41;28;69;0;0;0;0;0;0;0;0;0;0;0;0;0;41;28;0;69;0;0;0;6;0;0;0;0;6;0;0;0
2022;31453;6;CENTRO DE DIAGNOSTICO Y TRATAMIENTO COMUNICAME;3;2;0;5;VALPO;58;5804;VILLA ALEMANA;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;45;17;62;0;0;0;0;0;0;0;0;0;0;0;0;0;45;17;0;62;0;0;0;14;0;0;0;0;14;0;0;0
2022;31454;4;JARDÍN INFANTIL Y SALA CUNA DELFOS MONTESSORI;3;2;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;2;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;31455;2;ESC. ESP. DE LENGUAJE Y JARDIN INFANTIL PEUMAYEN;3;2;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;5;3;8;0;0;0;0;0;0;0;0;13;10;23;0;0;0;0;0;0;0;0;0;0;0;0;0;18;13;0;31;0;0;0;2;0;0;0;0;2;1;0;1
2022;31456;0;ESCUELA ESPECIAL DE LENGUAJE ANGELITOS;3;2;0;5;VALPO;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;75;54;129;0;0;0;0;0;0;0;0;0;0;0;0;0;75;54;0;129;0;0;0;10;0;0;0;0;10;0;0;0
2022;31457;9;JARDIN INFANTIL TIA KITTY;3;2;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;31458;7;ESCUELA ESPECIAL DE LENGUAJE HAKUNA MATATA;3;2;0;5;VALPO;57;5706;SANTA MARÍA;52;LOS ANDES;1;0;0;0;0;0;0;0;0;0;0;0;0;38;29;67;0;0;0;0;0;0;0;0;0;0;0;0;0;38;29;0;67;0;0;0;6;0;0;0;0;6;0;0;0
2022;31459;5;ESCUELA ESPECIAL DE LENGUAJE CUMBRES DE LLAY LLAY;3;2;0;5;VALPO;57;5703;LLAILLAY;52;LOS ANDES;1;0;0;0;0;0;0;0;0;0;0;0;0;16;12;28;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;28;0;0;0;3;0;0;0;0;3;0;0;0
2022;31460;9;ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN;3;2;0;5;VALPO;55;5501;QUILLOTA;51;QUILLOTA;1;0;0;0;0;0;0;0;0;0;0;0;0;48;38;86;0;0;0;0;0;0;0;0;0;0;0;0;0;48;38;0;86;0;0;0;6;0;0;0;0;6;0;0;0
2022;31461;7;ESCUELA ESPECIAL DE LENGUAJE NUEVA CALAFQUEN;3;2;0;5;VALPO;56;5603;CARTAGENA;54;SAN ANTONIO;1;0;8;6;14;0;0;0;0;0;0;0;0;56;32;88;0;0;0;0;0;0;0;0;0;0;0;0;0;64;38;0;102;0;0;0;6;0;0;0;0;6;1;0;1
2022;31462;5;CENTRO EDUCACIONAL EL FARO;3;2;0;5;VALPO;51;5107;QUINTERO;53;VALPARAÍSO;1;0;0;0;0;0;87;63;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;63;0;150;0;6;0;0;0;0;0;0;6;0;0;0
2022;31463;3;SALA CUNA Y JARDIN INFANTIL GOTITAS DE LUZ;3;2;0;10;LAGOS;102;10205;DALCAHUE;102;CHILOÉ;1;0;10;11;21;0;6;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;17;0;33;2;1;0;0;0;0;0;0;3;0;0;0
